,city,lon,lat
0,榆林市,109.8743,38.205
1,延安市,109.1052,36.4252
2,汉中市,106.886,33.0139
3,安康市,109.1162,32.7722
4,商洛市,109.8083,33.761
5,宝鸡市,107.1826,34.3433
6,渭南市,109.7864,35.0299
7,咸阳市,108.4131,34.8706
8,西安市,109.1162,34.2004
9,铜川市,109.0393,35.1947
10,赣州市,115.2795,25.8124
11,吉安市,114.884,26.9659
12,上饶市,117.8613,28.7292
13,九江市,115.4224,29.3774
14,抚州市,116.4441,27.4933
15,宜春市,115.0159,28.3228
16,南昌市,116.0046,28.6633
17,景德镇市,117.334,29.3225
18,萍乡市,113.9282,27.4823
19,鹰潭市,117.0813,28.2349
20,新余市,114.95,27.8174
21,南阳市,112.4011,33.0359
22,信阳市,114.8291,32.0197
23,洛阳市,112.0605,34.3158
24,驻马店市,114.1589,32.9041
25,周口市,114.873,33.6951
26,商丘市,115.741,34.2828
27,三门峡市,110.8301,34.3158
28,新乡市,114.2029,35.3595
29,平顶山市,112.9724,33.739
30,郑州市,113.4668,34.6234
31,安阳市,114.5325,36.0022
32,开封市,114.5764,34.6124
33,焦作市,112.8406,35.1508
34,许昌市,113.6975,34.0466
35,濮阳市,115.1917,35.799
36,漯河市,113.8733,33.6951
37,鹤壁市,114.3787,35.744
38,澳门,111.5547,22.1484
39,烟台市,120.7397,37.5128
40,临沂市,118.3118,35.2936
41,潍坊市,119.0918,36.524
42,青岛市,120.4651,36.3373
43,菏泽市,115.6201,35.2057
44,济宁市,116.8286,35.3375
45,德州市,116.6858,37.2107
46,滨州市,117.8174,37.4963
47,聊城市,115.9167,36.4032
48,东营市,118.7073,37.5513
49,济南市,117.1582,36.8701
50,泰安市,117.0264,36.0516
51,威海市,121.9482,37.1393
52,日照市,119.2786,35.5023
53,淄博市,118.0371,36.6064
54,枣庄市,117.323,34.8926
55,莱芜市,117.6526,36.2714
56,大连市,122.2229,39.4409
57,朝阳市,120.0696,41.4899
58,丹东市,124.541,40.4242
59,铁岭市,124.2773,42.7423
60,沈阳市,123.1238,42.1216
61,抚顺市,124.585,41.8579
62,葫芦岛市,120.1575,40.578
63,阜新市,122.0032,42.2699
64,锦州市,121.6626,41.4294
65,鞍山市,123.0798,40.6055
66,本溪市,124.1455,41.1987
67,营口市,122.4316,40.4297
68,辽阳市,123.4094,41.1383
69,盘锦市,121.9482,41.0449
70,甘孜藏族自治州,99.9207,31.0803
71,阿坝藏族羌族自治州,102.4805,32.4536
72,凉山彝族自治州,101.9641,27.6746
73,绵阳市,104.7327,31.8713
74,达州市,107.6111,31.333
75,广元市,105.6885,32.2284
76,雅安市,102.6672,29.8938
77,宜宾市,104.6558,28.548
78,乐山市,103.5791,29.1742
79,南充市,106.2048,31.1517
80,巴中市,107.0618,31.9977
81,泸州市,105.4578,28.493
82,成都市,103.9526,30.7617
83,资阳市,104.9744,30.1575
84,攀枝花市,101.6895,26.7133
85,眉山市,103.8098,30.0146
86,广安市,106.6333,30.4376
87,德阳市,104.48,31.1133
88,内江市,104.8535,29.6136
89,遂宁市,105.5347,30.6683
90,自贡市,104.6667,29.2786
91,高雄市,120.0254,23.5986
92,屏东县,120.0254,23.5986
93,台南市,120.0254,23.5986
94,新竹市,120.0254,23.5986
95,新竹县,120.0254,23.5986
96,宜兰县,120.0254,23.5986
97,基隆市,120.0254,23.5986
98,苗栗县,120.0254,23.5986
99,台北市,120.0254,23.5986
100,新北市,120.0254,23.5986
101,桃园县,120.0254,23.5986
102,彰化县,120.0254,23.5986
103,嘉义县,120.0254,23.5986
104,嘉义市,120.0254,23.5986
105,花莲县,120.0254,23.5986
106,南投县,120.0254,23.5986
107,台中市,120.0254,23.5986
108,云林县,120.0254,23.5986
109,台东县,120.0254,23.5986
110,澎湖县,120.0254,23.5986
111,金门,120.0254,23.5986
112,马祖,120.0254,23.5986
113,崇明县,121.5637,31.5383
114,南汇区,121.8755,30.954
115,奉贤区,121.5747,30.8475
116,浦东新区,121.6928,31.2561
117,金山区,121.2657,30.8112
118,青浦区,121.1751,31.1909
119,松江区,121.1984,31.0268
120,嘉定区,121.2437,31.3625
121,宝山区,121.4346,31.4051
122,闵行区,121.4992,31.0838
123,杨浦区,121.528,31.2966
124,普陀区,121.3879,31.2602
125,徐汇区,121.4333,31.1607
126,长宁区,121.3852,31.2115
127,闸北区,121.4511,31.2794
128,虹口区,121.4882,31.2788
129,黄浦区,121.4868,31.219
130,卢湾区,121.4758,31.2074
131,静安区,121.4484,31.2286
132,新疆维吾尔自治区,84.9023,42.148
133,西藏自治区,87.8695,31.6846
134,内蒙古自治区,112.5977,46.3408
135,青海省,95.2402,35.4199
136,四川省,101.9199,30.1904
137,黑龙江省,126.1445,48.7156
138,甘肃省,99.7129,38.166
139,云南省,101.0652,25.1807
140,广西壮族自治区,107.7813,23.6426
141,湖南省,111.5332,27.3779
142,陕西省,109.5996,35.7396
143,广东省,113.4668,22.8076
144,吉林省,125.7746,43.5938
145,河北省,115.4004,39.4688
146,湖北省,112.2363,31.1572
147,贵州省,106.6113,26.9385
148,山东省,118.7402,36.4307
149,江西省,116.0156,27.29
150,河南省,113.0668,33.8818
151,辽宁省,122.0438,41.0889
152,山西省,112.4121,37.6611
153,安徽省,117.2461,32.0361
154,福建省,118.3008,25.9277
155,浙江省,120.498,29.0918
156,江苏省,118.8586,32.915
157,重庆市,107.7539,30.1904
158,宁夏回族自治区,105.9961,37.3096
159,海南省,109.9512,19.2041
160,台湾省,120.0254,23.5986
161,北京市,116.4551,40.2539
162,天津市,117.4219,39.4189
163,上海市,121.4648,31.2891
164,香港特别行政区,114.1178,22.3242
165,澳门特别行政区,111.5547,22.1484
166,酉阳土家族苗族自治县,108.8196,28.8666
167,奉节县,109.3909,30.9265
168,巫溪县,109.3359,31.4813
169,开县,108.4131,31.2561
170,彭水苗族土家族自治县,108.2043,29.3994
171,云阳县,108.8306,31.0089
172,万州区,108.3911,30.6958
173,城口县,108.7756,31.9098
174,江津区,106.2158,28.9874
175,石柱土家族自治县,108.2813,30.1025
176,巫山县,109.8853,31.1188
177,涪陵区,107.3364,29.6796
178,丰都县,107.8418,29.9048
