,sid,name,area,if_crawl
0,1,慧慧想养一只猫,娱乐,1.0
1,2,薛之谦,娱乐,1.0
2,4,尿尿是只猫,萌宠,2.0
3,6,大狼狗郑建鹏&言真夫妇,才艺,1.0
4,7,轮胎粑粑,萌宠,1.0
5,8,祝晓晗,搞笑,1.0
6,9,樊登 听书,娱乐,1.0
7,10,王乃迎,才艺,1.0
8,11,金毛蛋黄,萌宠,1.0
9,12,无敌灏克,搞笑,1.0
10,13,一禅小和尚,二次元,1.0
11,14,青岛大姨张大霞,才艺,2.0
12,16,一条小团团OvO,游戏,1.0
13,17,陈翔六点半,搞笑,1.0
14,18,唐唐,二次元,2.0
15,19,我是田姥姥,娱乐,2.0
16,20,春丽是个小妹妹,才艺,2.0
17,21,猫总白一航,萌宠,2.0
18,22,林颜,游戏,1.0
19,23,设计师阿爽,家居,1.0
20,24,小沈阳,搞笑,2.0
21,25,尊宝爸爸,二次元,1.0
22,26,娄艺潇,娱乐,1.0
23,27,一一丫丫,才艺,2.0
24,28,王泡芙,萌宠,2.0
25,29,浪胃仙,美食,2.0
26,30,LOL陪玩酱,游戏,1.0
27,31,培学长手工教程,家居,1.0
28,32,多余和毛毛姐,搞笑,2.0
29,33,简笔画,二次元,2.0
30,34,张庭,娱乐,2.0
31,35,李雨霏2007,才艺,2.0
32,36,皮皮（教做菜）,美食,2.0
33,37,毒角SHOW,旅游,1.0
34,38,张大仙,游戏,2.0
35,39,小铃铛,家居,2.0
36,40,太阳妹妹（晨晨）,搞笑,1.0
37,41,喵小兔漫画（画师七七）,二次元,2.0
38,42,关晓彤,娱乐,2.0
39,43,燕子,才艺,2.0
40,44,TD别打了,萌宠,2.0
41,45,骨往筋来,健康,2.0
42,46,阿强美食分享,美食,2.0
43,47,东君小宇,旅游,1.0
44,48,狗子队长★,游戏,1.0
45,49,王豆豆爱逗逗儿,家居,1.0
46,50,杰克大魔王,二次元,1.0
47,51,李沁,娱乐,1.0
48,52,黑脸V,才艺,1.0
49,53,爱与二歪,萌宠,2.0
50,54,医路向前巍子,健康,2.0
51,55,大河客户端,企业,2.0
52,56,爱做菜,美食,2.0
53,57,林子烨Lester,旅游,2.0
54,58,呆阿拿,游戏,2.0
55,59,拾荒开袋,家居,1.0
56,60,小李朝ye,搞笑,1.0
57,61,地瓜,二次元,2.0
58,62,苓妹妹吖,娱乐,1.0
59,63,我叫Abbily,才艺,1.0
60,64,P爷和p麻,萌宠,2.0
61,65,NBA,体育,1.0
62,66,阿哥❤️阿抖,健康,2.0
63,67,国＋社区,企业,1.0
64,68,懒饭,美食,1.0
65,69,简默,旅游,1.0
66,70,小菊菊游戏解说,游戏,1.0
67,71,住宅公园,家居,1.0
68,72,猪屁登,搞笑,
69,73,伊拾七,二次元,2.0
70,74,于震,娱乐,
71,75,陈意礼,才艺,
72,76,拉布拉多-kiss,萌宠,
73,77,天极街球头盔哥,体育,
74,78,商业小纸条,教育,
75,79,瑜伽旗哥-下午4点直播带大家瑜伽,健康,
76,80,贵州『費爺』,企业,
77,81,租租车App,旅游,
78,82,PDD,游戏,
79,83,七喜,家居,
80,84,花一村,搞笑,
81,85,三尺童子,二次元,1.0
82,86,包贝尔,娱乐,
83,87,司氏砸缸,才艺,
84,88,拉布拉多seven,萌宠,
85,89,科学旅行号,科技,
86,90,张国伟_国家伟大,体育,
87,91,_岚仔,教育,
88,92,佳佳,健康,
89,93,小米公司,企业,
90,94,李子柒,美食,
91,95,野行涛哥,旅游,
92,96,第一庞统老白,游戏,
93,97,每日妙招,家居,
94,98,温精灵,搞笑,
95,99,王奕萌Amiro,二次元,1.0
96,100,孙艺洲,娱乐,
97,101,锤娜丽莎,才艺,
98,102,球球是只猫,萌宠,
99,103,薛定谔的电磁炉,科技,
100,104,猴哥说车,汽车,
101,105,潘晓婷,体育,
102,106,明sir反骗局,教育,
103,107,心血管王医生,健康,
104,108,小米手机,企业,
105,109,雁姐美食,美食,
106,110,英国报姐,旅游,
107,111,阿三解说,游戏,
108,112,杨洋和富贵,搞笑,
109,113,小品一家人,二次元,2.0
110,114,陈三废gg,娱乐,
111,115,阿仟,才艺,
112,116,涂磊,情感,
113,117,安生的爸爸,萌宠,
114,118,郑云,科技,
115,119,虎哥说车,汽车,
116,120,镜子在跑步,体育,
117,121,岳老板,教育,
118,122,李瑛,健康,
119,123,阿里巴巴,企业,
120,124,麻辣德子,美食,
121,125,这里是新疆,旅游,
122,126,沈轩不会撩,游戏,
123,127,保驾护航装修助手,家居,
124,128,夏同学,搞笑,
125,129,圆肥白,二次元,2.0
126,130,湖南卫视,娱乐,
127,131,颜人中,才艺,
128,132,旺财和nico的两脚兽,萌宠,
129,133,梁笑笑,时尚,
130,134,钢铁西游,科技,
131,135,玩车女神,汽车,
132,136,大师兄MB,体育,
133,137,吴老师正能量,教育,
134,138,森阳＊六一的瑜伽Daddy,健康,
135,139,特斯拉上海超级工厂,企业,
136,140,阿雅小厨,美食,
137,141,房琪kiki,旅游,
138,142,蛋白.,游戏,
139,143,爆笑三江锅,搞笑,
140,144,自由～恶魔的爱,二次元,1.0
141,145,刘铁雕Rose,情感,
142,146,艾若水Agash,文化,
143,147,果果是只假假假萨摩,萌宠,
144,148,仙姆SamChak,时尚,
145,149,短的发布会,科技,
146,150,南哥说车,汽车,
147,151,能能叔,体育,
148,152,你们的宋老师,教育,
149,153,JJYOGA瑜伽,健康,
150,154,淘票票,企业,1.0
151,155,贫穷料理,美食,
152,156,芭拉芭拉,旅游,
153,157,陈大白,游戏,
154,158,花摇君传媒,家居,
155,159,萝莉和大叔的日常,搞笑,
156,160,默默酱,二次元,1.0
157,161,洋佳酱,娱乐,
158,162,朱容君-兔子牙,才艺,
159,163,大魔王呸,情感,
160,164,北京七点画室,文化,
161,165,初心行动,社会,
162,166,链宠大本营,萌宠,
163,167,李佳琦Austin,时尚,
